Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sat,2020-11-07,20:00,Śląsk Wrocław,0–0,Górnik Zabrze,,Stadion Miejski,Paweł Raczkowski,Match Report,
,,,,,,,,,,,
9,Sun,2020-11-08,15:00,Legia Warsaw,2–1,Lech Poznań,,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
9,Sun,2020-11-08,17:30,RKS Raków,0–0,Wisła Kraków,,Stadion GKS-u,Piotr Lasyk,Match Report,
,,,,,,,,,,,
10,Mon,2020-11-09,18:00,Pogoń Szczecin,1–1,Podbeskidzie,,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
,,,,,,,,,,,
9,Fri,2020-11-20,18:00,Lechia Gdańsk,3–2,Śląsk Wrocław,,Stadion Energa Gdańsk,Krzysztof Jakubik,Match Report,
9,Fri,2020-11-20,20:30,Górnik Zabrze,1–2,Piast Gliwice,,Arena Zabrze,Jarosław Przybył,Match Report,
,,,,,,,,,,,
10,Sat,2020-11-21,17:30,Zagłębie Lubin,2–2,Stal Mielec,,Stadion Zagłębia Lubin,Daniel Stefański,Match Report,
10,Sat,2020-11-21,20:00,Warta Poznań,2–1,Wisła Kraków,,Stadion Groclinu Dyskobolii,Bartosz Frankowski,Match Report,
10,Sun,2020-11-22,12:30,Lech Poznań,3–3,RKS Raków,,INEA stadion,Paweł Gil,Match Report,
10,Sun,2020-11-22,17:30,Cracovia,0–1,Legia Warsaw,,Stadion Cracovii,Piotr Lasyk,Match Report,
10,Mon,2020-11-23,18:00,Piast Gliwice,2–0,Lechia Gdańsk,,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
10,Mon,2020-11-23,20:30,Jagiellonia,5–2,Wisła Płock,,Stadion Miejski,Damian Sylwestrzak,Match Report,
,,,,,,,,,,,
9,Tue,2020-11-24,18:00,Podbeskidzie,2–1,Zagłębie Lubin,,Stadion Miejski BKS Stal,Szymon Marciniak,Match Report,
,,,,,,,,,,,
11,Fri,2020-11-27,18:00,Wisła Płock,0–1,Cracovia,,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
11,Fri,2020-11-27,20:30,Górnik Zabrze,2–1,Pogoń Szczecin,,Arena Zabrze,Damian Sylwestrzak,Match Report,
11,Sat,2020-11-28,15:00,Stal Mielec,3–1,Jagiellonia,,Stadion MOSiR,Jarosław Przybył,Match Report,
11,Sat,2020-11-28,17:30,Podbeskidzie,0–2,Śląsk Wrocław,,Stadion Miejski BKS Stal,Dominik Sulikowski,Match Report,
11,Sat,2020-11-28,20:00,Wisła Kraków,1–2,Zagłębie Lubin,,Stadion Miejski im. Henryka Reymana,Sebastian Jarzębak,Match Report,
11,Sun,2020-11-29,15:00,RKS Raków,1–0,Warta Poznań,,Stadion GKS-u,Daniel Stefański,Match Report,
11,Sun,2020-11-29,17:30,Legia Warsaw,2–2,Piast Gliwice,,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
11,Mon,2020-11-30,18:00,Lechia Gdańsk,0–1,Lech Poznań,,Stadion Energa Gdańsk,Łukasz Szczech,Match Report,
,,,,,,,,,,,
9,Wed,2020-12-02,18:00,Wisła Płock,0–0,Pogoń Szczecin,,Stadion im. Kazimierza Górskiego,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,
12,Fri,2020-12-04,20:30,Cracovia,1–1,Wisła Kraków,,Stadion Cracovii,Daniel Stefański,Match Report,
12,Sat,2020-12-05,15:00,Jagiellonia,4–3,Warta Poznań,,Stadion Miejski,Zbigniew Dobrynin,Match Report,
12,Sat,2020-12-05,17:30,Śląsk Wrocław,1–0,RKS Raków,,Stadion Miejski,Szymon Marciniak,Match Report,
12,Sat,2020-12-05,20:00,Legia Warsaw,2–0,Lechia Gdańsk,,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
12,Sun,2020-12-06,15:00,Piast Gliwice,1–1,Zagłębie Lubin,,Stadion Miejski,Krzysztof Jakubik,Match Report,
12,Sun,2020-12-06,17:30,Lech Poznań,4–0,Podbeskidzie,,INEA stadion,Wojciech Myć,Match Report,
12,Mon,2020-12-07,18:00,Pogoń Szczecin,2–0,Stal Mielec,,Stadion Miejski im. Floriana Krygiera,Tomasz Wajda,Match Report,
12,Mon,2020-12-07,20:30,Wisła Płock,0–1,Górnik Zabrze,,Stadion im. Kazimierza Górskiego,Mariusz Zlotek,Match Report,
,,,,,,,,,,,
13,Fri,2020-12-11,18:00,Podbeskidzie,0–5,Piast Gliwice,,Stadion Miejski BKS Stal,Łukasz Szczech,Match Report,
13,Fri,2020-12-11,20:30,Zagłębie Lubin,2–1,Śląsk Wrocław,,Stadion Zagłębia Lubin,Zbigniew Dobrynin,Match Report,
13,Sat,2020-12-12,15:00,Warta Poznań,1–2,Pogoń Szczecin,,Stadion Groclinu Dyskobolii,Dominik Sulikowski,Match Report,
13,Sat,2020-12-12,17:30,Górnik Zabrze,0–2,Cracovia,,Arena Zabrze,Bartosz Frankowski,Match Report,
13,Sat,2020-12-12,20:00,Wisła Kraków,1–2,Legia Warsaw,,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
13,Sun,2020-12-13,15:00,Stal Mielec,1–1,Lech Poznań,,Stadion MOSiR,Paweł Gil,Match Report,
13,Sun,2020-12-13,17:30,RKS Raków,3–2,Jagiellonia,,Stadion GKS-u,Mariusz Zlotek,Match Report,
13,Mon,2020-12-14,18:00,Lechia Gdańsk,0–1,Wisła Płock,,Stadion Energa Gdańsk,Damian Sylwestrzak,Match Report,
,,,,,,,,,,,
5,Wed,2020-12-16,20:30,Lech Poznań,0–4,Pogoń Szczecin,,INEA stadion,Jarosław Przybył,Match Report,
,,,,,,,,,,,
14,Thu,2020-12-17,18:00,Śląsk Wrocław,2–1,Warta Poznań,,Stadion Miejski,Tomasz Wajda,Match Report,
14,Fri,2020-12-18,18:00,Wisła Płock,4–1,Podbeskidzie,,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
14,Fri,2020-12-18,20:30,Legia Warsaw,2–3,Stal Mielec,,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
14,Sat,2020-12-19,15:00,Pogoń Szczecin,1–0,Zagłębie Lubin,,Stadion Miejski im. Floriana Krygiera,Sebastian Jarzębak,Match Report,
14,Sat,2020-12-19,17:30,Cracovia,0–3,Lechia Gdańsk,,Stadion Cracovii,Krzysztof Jakubik,Match Report,
14,Sat,2020-12-19,20:00,Lech Poznań,0–1,Wisła Kraków,,INEA stadion,Tomasz Kwiatkowski,Match Report,
14,Sun,2020-12-20,15:00,Piast Gliwice,0–0,RKS Raków,,Stadion Miejski,Damian Sylwestrzak,Match Report,
14,Sun,2020-12-20,17:30,Jagiellonia,1–0,Górnik Zabrze,,Stadion Miejski,Daniel Stefański,Match Report,
,,,,,,,,,,,
15,Fri,2021-01-29,18:00,Zagłębie Lubin,0–2,Wisła Płock,,Stadion Zagłębia Lubin,Daniel Stefański,Match Report,
15,Fri,2021-01-29,20:30,RKS Raków,0–1,Pogoń Szczecin,,Stadion GKS-u,Jarosław Przybył,Match Report,
15,Sat,2021-01-30,15:00,Warta Poznań,1–0,Cracovia,,Stadion Groclinu Dyskobolii,Paweł Gil,Match Report,
15,Sat,2021-01-30,17:30,Lechia Gdańsk,0–2,Jagiellonia,,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
15,Sat,2021-01-30,20:00,Górnik Zabrze,1–1,Lech Poznań,,Arena Zabrze,Tomasz Kwiatkowski,Match Report,
15,Sun,2021-01-31,15:00,Wisła Kraków,3–4,Piast Gliwice,,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
15,Sun,2021-01-31,17:30,Podbeskidzie,1–0,Legia Warsaw,,Stadion Miejski BKS Stal,Szymon Marciniak,Match Report,
15,Mon,2021-02-01,18:00,Stal Mielec,0–0,Śląsk Wrocław,,Stadion MOSiR,Paweł Raczkowski,Match Report,
,,,,,,,,,,,
16,Fri,2021-02-05,18:00,Lechia Gdańsk,1–1,Warta Poznań,,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
16,Fri,2021-02-05,20:30,Lech Poznań,0–0,Zagłębie Lubin,,INEA stadion,Sebastian Jarzębak,Match Report,
16,Sat,2021-02-06,15:00,Piast Gliwice,2–0,Śląsk Wrocław,,Stadion Miejski,Mariusz Zlotek,Match Report,
16,Sat,2021-02-06,17:30,Pogoń Szczecin,1–0,Cracovia,,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
16,Sat,2021-02-06,20:00,Legia Warsaw,2–0,RKS Raków,,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
16,Sun,2021-02-07,15:00,Podbeskidzie,2–1,Górnik Zabrze,,Stadion Miejski BKS Stal,Paweł Raczkowski,Match Report,
16,Sun,2021-02-07,17:30,Wisła Kraków,2–0,Jagiellonia,,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
,,,,,,,,,,,
17,Fri,2021-02-12,20:30,Śląsk Wrocław,1–1,Wisła Kraków,,Stadion Miejski,Bartosz Frankowski,Match Report,
17,Sat,2021-02-13,15:00,Cracovia,1–1,Podbeskidzie,,Stadion Cracovii,Jarosław Przybył,Match Report,
17,Sat,2021-02-13,17:30,Pogoń Szczecin,0–0,Piast Gliwice,,Stadion Miejski im. Floriana Krygiera,Łukasz Szczech,Match Report,
17,Sat,2021-02-13,20:00,RKS Raków,0–1,Lechia Gdańsk,,Stadion GKS-u,Paweł Raczkowski,Match Report,
17,Sun,2021-02-14,15:00,Wisła Płock,1–0,Lech Poznań,,Stadion im. Kazimierza Górskiego,Zbigniew Dobrynin,Match Report,
17,Sun,2021-02-14,17:30,Jagiellonia,1–1,Legia Warsaw,,Stadion Miejski,Szymon Marciniak,Match Report,
17,Mon,2021-02-15,18:00,Warta Poznań,1–0,Zagłębie Lubin,,Stadion Groclinu Dyskobolii,Piotr Lasyk,Match Report,
17,Mon,2021-02-15,20:30,Górnik Zabrze,2–1,Stal Mielec,,Arena Zabrze,Daniel Stefański,Match Report,
,,,,,,,,,,,
18,Fri,2021-02-19,18:00,Stal Mielec,0–0,Cracovia,,Stadion MOSiR,Sebastian Jarzębak,Match Report,
18,Fri,2021-02-19,20:30,Wisła Kraków,2–1,Pogoń Szczecin,,Stadion Miejski im. Henryka Reymana,Paweł Raczkowski,Match Report,
18,Sat,2021-02-20,15:00,Legia Warsaw,5–2,Wisła Płock,,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Zlotek,Match Report,
18,Sat,2021-02-20,17:30,Podbeskidzie,1–1,Jagiellonia,,Stadion Miejski BKS Stal,Szymon Marciniak,Match Report,
18,Sat,2021-02-20,20:00,Lechia Gdańsk,2–0,Górnik Zabrze,,Stadion Energa Gdańsk,Damian Sylwestrzak,Match Report,
18,Sun,2021-02-21,15:00,Zagłębie Lubin,1–2,RKS Raków,,Stadion Zagłębia Lubin,Tomasz Kwiatkowski,Match Report,
18,Sun,2021-02-21,17:30,Lech Poznań,1–0,Śląsk Wrocław,,INEA stadion,Daniel Stefański,Match Report,
18,Mon,2021-02-22,18:00,Piast Gliwice,0–1,Warta Poznań,,Stadion Miejski,Paweł Gil,Match Report,
,,,,,,,,,,,
19,Fri,2021-02-26,18:00,RKS Raków,1–0,Podbeskidzie,,Stadion GKS-u,Krzysztof Jakubik,Match Report,
19,Fri,2021-02-26,20:30,Warta Poznań,1–2,Lech Poznań,,Stadion Groclinu Dyskobolii,Jarosław Przybył,Match Report,
19,Sat,2021-02-27,15:00,Stal Mielec,0–1,Lechia Gdańsk,,Stadion MOSiR,Łukasz Szczech,Match Report,
19,Sat,2021-02-27,17:30,Jagiellonia,0–1,Piast Gliwice,,Stadion Miejski,Daniel Stefański,Match Report,
19,Sat,2021-02-27,20:00,Górnik Zabrze,1–2,Legia Warsaw,,Arena Zabrze,Bartosz Frankowski,Match Report,
19,Sun,2021-02-28,12:30,Wisła Płock,1–3,Wisła Kraków,,Stadion im. Kazimierza Górskiego,Tomasz Kwiatkowski,Match Report,
19,Sun,2021-02-28,15:00,Cracovia,2–4,Zagłębie Lubin,,Stadion Cracovii,Szymon Marciniak,Match Report,
19,Sun,2021-02-28,17:30,Śląsk Wrocław,2–1,Pogoń Szczecin,,Stadion Miejski,Piotr Lasyk,Match Report,
,,,,,,,,,,,
16,Thu,2021-03-04,20:30,Stal Mielec,2–2,Wisła Płock,,Stadion MOSiR,Damian Sylwestrzak,Match Report,
,,,,,,,,,,,
