Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,23,Fri,2017-02-24,18:00,Arka Gdynia,4–1,Korona Kielce,5213,Stadion GOSiR,Łukasz Bednarek,Match Report,
Regular Season,23,Fri,2017-02-24,20:30,Pogoń Szczecin,0–3,Lech Poznań,8678,Stadion Miejski im. Floriana Krygiera,Daniel Stefański,Match Report,
Regular Season,23,Sat,2017-02-25,15:30,Wisła Płock,2–1,Zagłębie Lubin,3432,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
Regular Season,23,Sat,2017-02-25,18:00,Lechia Gdańsk,4–2,Cracovia,13018,Stadion Energa Gdańsk,Jarosław Przybył,Match Report,
Regular Season,23,Sat,2017-02-25,20:30,Wisła Kraków,3–1,Jagiellonia,3432,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
Regular Season,23,Sun,2017-02-26,15:30,Górnik Łęczna,1–0,Piast Gliwice,1401,Arena Lublin,Krzysztof Jakubik,Match Report,
Regular Season,23,Sun,2017-02-26,18:00,Legia Warsaw,1–1,Nieciecza,14163,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Złotek,Match Report,
Regular Season,23,Mon,2017-02-27,18:00,Ruch Chorzów,2–0,Śląsk Wrocław,5557,Stadion Miejski ul. Cicha,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,24,Fri,2017-03-03,18:00,Korona Kielce,2–1,Górnik Łęczna,5475,Kolporter Arena,Paweł Raczkowski,Match Report,
Regular Season,24,Fri,2017-03-03,20:30,Zagłębie Lubin,1–3,Legia Warsaw,10892,Stadion Zagłębia Lubin,Jarosław Przybył,Match Report,
Regular Season,24,Sat,2017-03-04,15:30,Cracovia,1–1,Arka Gdynia,9255,Stadion Cracovii,Paweł Gil,Match Report,
Regular Season,24,Sat,2017-03-04,18:00,Nieciecza,0–0,Ruch Chorzów,3079,Stadion Bruk-Bet,Krzysztof Jakubik,Match Report,
Regular Season,24,Sat,2017-03-04,20:30,Piast Gliwice,1–2,Wisła Kraków,5447,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,24,Sun,2017-03-05,15:30,Jagiellonia,4–1,Śląsk Wrocław,10736,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,24,Sun,2017-03-05,18:00,Lech Poznań,1–0,Lechia Gdańsk,31281,INEA stadion,Szymon Marciniak,Match Report,
Regular Season,24,Mon,2017-03-06,18:00,Pogoń Szczecin,1–1,Wisła Płock,3458,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,21,Tue,2017-03-07,18:00,Górnik Łęczna,0–1,Zagłębie Lubin,2443,Arena Lublin,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,25,Fri,2017-03-10,18:10,Śląsk Wrocław,3–4,Piast Gliwice,6262,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,25,Fri,2017-03-10,20:30,Arka Gdynia,1–4,Lech Poznań,11514,Stadion GOSiR,Jarosław Przybył,Match Report,
Regular Season,25,Sat,2017-03-11,15:30,Wisła Płock,1–0,Nieciecza,3712,Stadion im. Kazimierza Górskiego,Tomasz Musiał,Match Report,
Regular Season,25,Sat,2017-03-11,18:00,Ruch Chorzów,2–1,Lechia Gdańsk,7002,Stadion Miejski ul. Cicha,Tomasz Kwiatkowski,Match Report,
Regular Season,25,Sat,2017-03-11,20:30,Jagiellonia,4–1,Korona Kielce,9554,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,25,Sun,2017-03-12,15:30,Górnik Łęczna,2–2,Pogoń Szczecin,2126,Arena Lublin,Mariusz Złotek,Match Report,
Regular Season,25,Sun,2017-03-12,18:00,Legia Warsaw,1–0,Wisła Kraków,26780,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,25,Mon,2017-03-13,18:00,Cracovia,1–1,Zagłębie Lubin,6473,Stadion Cracovii,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,26,Fri,2017-03-17,18:00,Nieciecza,1–2,Śląsk Wrocław,3526,Stadion Bruk-Bet,Tomasz Kwiatkowski,Match Report,
Regular Season,26,Fri,2017-03-17,20:30,Wisła Kraków,3–2,Wisła Płock,12123,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
Regular Season,26,Sat,2017-03-18,15:30,Piast Gliwice,3–2,Arka Gdynia,4154,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,26,Sat,2017-03-18,18:00,Zagłębie Lubin,0–1,Ruch Chorzów,5479,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
Regular Season,26,Sat,2017-03-18,20:30,Pogoń Szczecin,0–0,Jagiellonia,3486,Stadion Miejski im. Floriana Krygiera,Piotr Lasyk,Match Report,
Regular Season,26,Sun,2017-03-19,15:30,Korona Kielce,3–0,Cracovia,6328,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,26,Sun,2017-03-19,15:30,Lech Poznań,0–0,Górnik Łęczna,40324,INEA stadion,Bartosz Frankowski,Match Report,
Regular Season,26,Sun,2017-03-19,18:00,Lechia Gdańsk,1–2,Legia Warsaw,37220,Stadion Energa Gdańsk,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,27,Fri,2017-03-31,18:00,Śląsk Wrocław,3–0,Korona Kielce,8229,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,27,Fri,2017-03-31,20:30,Wisła Kraków,0–0,Lech Poznań,30128,Stadion Miejski im. Henryka Reymana,Paweł Raczkowski,Match Report,
Regular Season,27,Sat,2017-04-01,15:30,Arka Gdynia,2–4,Górnik Łęczna,6621,Stadion GOSiR,Szymon Marciniak,Match Report,
Regular Season,27,Sat,2017-04-01,18:00,Wisła Płock,4–1,Cracovia,8127,Stadion im. Kazimierza Górskiego,Tomasz Kwiatkowski,Match Report,
Regular Season,27,Sat,2017-04-01,20:30,Legia Warsaw,2–0,Pogoń Szczecin,22210,Stadion Miejski Legii Warszawa im. Marsz...,Adrien Jaccottet,Match Report,
Regular Season,27,Sun,2017-04-02,15:30,Jagiellonia,1–0,Nieciecza,14392,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,27,Sun,2017-04-02,18:00,Lechia Gdańsk,1–0,Zagłębie Lubin,16263,Stadion Energa Gdańsk,Mariusz Złotek,Match Report,
Regular Season,27,Mon,2017-04-03,18:00,Ruch Chorzów,0–0,Piast Gliwice,7837,Stadion Miejski ul. Cicha,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,28,Fri,2017-04-07,18:00,Cracovia,1–0,Śląsk Wrocław,6342,Stadion Cracovii,Bartosz Frankowski,Match Report,
Regular Season,28,Fri,2017-04-07,20:30,Zagłębie Lubin,3–4,Jagiellonia,5182,Stadion Zagłębia Lubin,Paweł Raczkowski,Match Report,
Regular Season,28,Sat,2017-04-08,15:30,Górnik Łęczna,2–3,Wisła Płock,2614,Arena Lublin,Tomasz Musiał,Match Report,
Regular Season,28,Sat,2017-04-08,18:00,Pogoń Szczecin,5–1,Arka Gdynia,4312,Stadion Miejski im. Floriana Krygiera,Paweł Gil,Match Report,
Regular Season,28,Sat,2017-04-08,20:30,Nieciecza,2–3,Wisła Kraków,4595,Stadion Bruk-Bet,Krzysztof Jakubik,Match Report,
Regular Season,28,Sun,2017-04-09,15:30,Piast Gliwice,1–1,Lechia Gdańsk,5974,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,28,Sun,2017-04-09,18:00,Lech Poznań,1–2,Legia Warsaw,41026,INEA stadion,Daniel Stefański,Match Report,
Regular Season,28,Mon,2017-04-10,18:00,Korona Kielce,1–0,Ruch Chorzów,7479,Kolporter Arena,Zbigniew Dobrynin,Match Report,
,,,,,,,,,,,,
Regular Season,29,Sat,2017-04-15,15:30,Śląsk Wrocław,2–2,Górnik Łęczna,7675,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,29,Sat,2017-04-15,15:30,Ruch Chorzów,1–2,Pogoń Szczecin,6364,Stadion Miejski ul. Cicha,Jarosław Przybył,Match Report,
Regular Season,29,Sat,2017-04-15,18:00,Jagiellonia,0–0,Cracovia,10000,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,29,Sat,2017-04-15,20:30,Wisła Płock,0–3,Lech Poznań,9750,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
Regular Season,29,Mon,2017-04-17,15:30,Nieciecza,1–0,Piast Gliwice,3012,Stadion Bruk-Bet,Paweł Raczkowski,Match Report,
Regular Season,29,Mon,2017-04-17,15:30,Legia Warsaw,0–0,Korona Kielce,17962,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Regular Season,29,Mon,2017-04-17,18:00,Lechia Gdańsk,2–1,Arka Gdynia,28145,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,29,Mon,2017-04-17,18:00,Wisła Kraków,1–0,Zagłębie Lubin,12411,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
,,,,,,,,,,,,
Regular Season,30,Sat,2017-04-22,18:00,Arka Gdynia,1–1,Wisła Płock,5505,Stadion GOSiR,Daniel Stefański,Match Report,
Regular Season,30,Sat,2017-04-22,18:00,Korona Kielce,0–1,Nieciecza,11999,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,30,Sat,2017-04-22,18:00,Górnik Łęczna,3–1,Wisła Kraków,5903,Arena Lublin,Tomasz Kwiatkowski,Match Report,
Regular Season,30,Sat,2017-04-22,18:00,Zagłębie Lubin,1–1,Śląsk Wrocław,8282,Stadion Zagłębia Lubin,Paweł Gil,Match Report,
Regular Season,30,Sat,2017-04-22,18:00,Lech Poznań,3–0,Ruch Chorzów,20114,INEA stadion,Łukasz Bednarek,Match Report,
Regular Season,30,Sat,2017-04-22,18:00,Pogoń Szczecin,3–1,Lechia Gdańsk,6961,Stadion Miejski im. Floriana Krygiera,Paweł Raczkowski,Match Report,
Regular Season,30,Sat,2017-04-22,18:00,Piast Gliwice,0–1,Jagiellonia,4439,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,30,Sat,2017-04-22,18:00,Cracovia,1–2,Legia Warsaw,12438,Stadion Cracovii,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Relegation round,1,Fri,2017-04-28,18:00,Arka Gdynia,1–1,Piast Gliwice,4623,Stadion GOSiR,Krzysztof Jakubik,Match Report,
Championship round,1,Fri,2017-04-28,20:30,Lech Poznań,3–2,Korona Kielce,11192,INEA stadion,Szymon Marciniak,Match Report,
Relegation round,1,Sat,2017-04-29,15:30,Wisła Płock,1–1,Ruch Chorzów,3413,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
Relegation round,1,Sat,2017-04-29,18:00,Śląsk Wrocław,0–2,Górnik Łęczna,4921,Stadion Miejski,Jarosław Przybył,Match Report,
Championship round,1,Sat,2017-04-29,20:30,Lechia Gdańsk,2–0,Nieciecza,10095,Stadion Energa Gdańsk,Piotr Lasyk,Match Report,
Championship round,1,Sun,2017-04-30,15:30,Jagiellonia,1–0,Pogoń Szczecin,12100,Stadion Miejski,Bartosz Frankowski,Match Report,
Championship round,1,Sun,2017-04-30,18:00,Legia Warsaw,1–1,Wisła Kraków,22239,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Relegation round,1,Mon,2017-05-01,18:00,Zagłębie Lubin,2–2,Cracovia,4242,Stadion Zagłębia Lubin,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Relegation round,2,Fri,2017-05-05,18:00,Ruch Chorzów,1–1,Zagłębie Lubin,6317,Stadion Miejski ul. Cicha,Daniel Stefański,Match Report,
Championship round,2,Fri,2017-05-05,20:30,Korona Kielce,1–1,Jagiellonia,8956,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
Relegation round,2,Sat,2017-05-06,15:30,Piast Gliwice,2–0,Śląsk Wrocław,5118,Stadion Miejski,Tomasz Musiał,Match Report,
Relegation round,2,Sat,2017-05-06,18:00,Górnik Łęczna,2–3,Wisła Płock,3666,Arena Lublin,Bartosz Frankowski,Match Report,
Championship round,2,Sat,2017-05-06,20:30,Wisła Kraków,0–1,Lechia Gdańsk,16021,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Championship round,2,Sun,2017-05-07,15:30,Nieciecza,0–3,Lech Poznań,4595,Stadion Bruk-Bet,Jarosław Przybył,Match Report,
Championship round,2,Sun,2017-05-07,18:00,Pogoń Szczecin,0–2,Legia Warsaw,9876,Stadion Miejski im. Floriana Krygiera,Szymon Marciniak,Match Report,
Relegation round,2,Mon,2017-05-08,18:00,Cracovia,2–0,Arka Gdynia,6279,Stadion Cracovii,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Relegation round,3,Fri,2017-05-12,18:00,Zagłębie Lubin,3–1,Piast Gliwice,3827,Stadion Zagłębia Lubin,Bartosz Frankowski,Match Report,
Relegation round,3,Fri,2017-05-12,20:30,Arka Gdynia,1–0,Górnik Łęczna,5623,Stadion GOSiR,Daniel Stefański,Match Report,
Championship round,3,Sat,2017-05-13,15:30,Jagiellonia,2–0,Wisła Kraków,15117,Stadion Miejski,Jarosław Przybył,Match Report,
Relegation round,3,Sat,2017-05-13,18:00,Śląsk Wrocław,6–0,Ruch Chorzów,6685,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Relegation round,3,Sat,2017-05-13,20:30,Wisła Płock,1–1,Cracovia,4001,Boisko przy ul. Wielickiej,Krzysztof Jakubik,Match Report,
Championship round,3,Sun,2017-05-14,15:30,Lechia Gdańsk,0–0,Korona Kielce,15349,Stadion Energa Gdańsk,Mariusz Złotek,Match Report,
Championship round,3,Sun,2017-05-14,15:30,Lech Poznań,2–0,Pogoń Szczecin,15862,INEA stadion,Piotr Lasyk,Match Report,
Championship round,3,Sun,2017-05-14,18:00,Legia Warsaw,6–0,Nieciecza,19765,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Relegation round,4,Tue,2017-05-16,18:00,Arka Gdynia,0–1,Wisła Płock,6015,Stadion GOSiR,Bartosz Frankowski,Match Report,
Relegation round,4,Tue,2017-05-16,18:00,Górnik Łęczna,3–0,Cracovia,4418,Arena Lublin,Paweł Raczkowski,Match Report,
Relegation round,4,Tue,2017-05-16,20:30,Ruch Chorzów,0–3,Piast Gliwice,6431,Stadion Miejski ul. Cicha,Paweł Gil,Match Report,
Relegation round,4,Tue,2017-05-16,20:30,Zagłębie Lubin,2–0,Śląsk Wrocław,8109,Stadion Zagłębia Lubin,Krzysztof Jakubik,Match Report,
Championship round,4,Wed,2017-05-17,18:00,Lechia Gdańsk,4–0,Jagiellonia,15025,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Championship round,4,Wed,2017-05-17,18:00,Korona Kielce,3–2,Wisła Kraków,9911,Kolporter Arena,Łukasz Bednarek,Match Report,
Championship round,4,Wed,2017-05-17,20:30,Legia Warsaw,2–0,Lech Poznań,28820,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Championship round,4,Wed,2017-05-17,20:30,Pogoń Szczecin,1–1,Nieciecza,3108,Stadion Miejski im. Floriana Krygiera,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Relegation round,5,Fri,2017-05-19,18:00,Śląsk Wrocław,4–1,Arka Gdynia,7228,Stadion Miejski,Paweł Gil,Match Report,
Relegation round,5,Fri,2017-05-19,20:30,Cracovia,2–0,Ruch Chorzów,8509,Stadion Cracovii,Mariusz Złotek,Match Report,
Relegation round,5,Sat,2017-05-20,15:30,Wisła Płock,1–2,Zagłębie Lubin,4598,Stadion im. Kazimierza Górskiego,Dominik Sulikowski,Match Report,
Relegation round,5,Sat,2017-05-20,18:00,Piast Gliwice,2–1,Górnik Łęczna,5007,Stadion Miejski,Krzysztof Jakubik,Match Report,
Championship round,5,Sat,2017-05-20,20:30,Wisła Kraków,4–0,Pogoń Szczecin,11588,Stadion Miejski im. Henryka Reymana,Paweł Pskit,Match Report,
Championship round,5,Sun,2017-05-21,15:30,Lech Poznań,0–0,Lechia Gdańsk,20139,INEA stadion,Tomasz Musiał,Match Report,
Championship round,5,Sun,2017-05-21,18:00,Jagiellonia,0–0,Legia Warsaw,22394,Stadion Miejski,Bartosz Frankowski,Match Report,
Championship round,5,Mon,2017-05-22,18:00,Nieciecza,0–2,Korona Kielce,3247,Stadion Bruk-Bet,Zbigniew Dobrynin,Match Report,
,,,,,,,,,,,,
Relegation round,6,Sat,2017-05-27,18:00,Górnik Łęczna,1–3,Zagłębie Lubin,5395,Arena Lublin,Tomasz Kwiatkowski,Match Report,
Relegation round,6,Sat,2017-05-27,18:00,Arka Gdynia,1–1,Ruch Chorzów,9001,Stadion GOSiR,Tomasz Musiał,Match Report,
Relegation round,6,Sat,2017-05-27,18:00,Piast Gliwice,4–0,Wisła Płock,5540,Stadion Miejski,Paweł Raczkowski,Match Report,
Relegation round,6,Sat,2017-05-27,18:00,Śląsk Wrocław,2–0,Cracovia,11861,Stadion Miejski,Bartosz Frankowski,Match Report,
Championship round,6,Sun,2017-05-28,18:00,Nieciecza,1–2,Jagiellonia,4017,Stadion Bruk-Bet,Kristinn Jakobsson,Match Report,
Championship round,6,Sun,2017-05-28,18:00,Lechia Gdańsk,4–0,Pogoń Szczecin,20067,Stadion Energa Gdańsk,Piotr Lasyk,Match Report,
Championship round,6,Sun,2017-05-28,18:00,Korona Kielce,0–1,Legia Warsaw,15000,Kolporter Arena,Jarosław Przybył,Match Report,
Championship round,6,Sun,2017-05-28,18:00,Lech Poznań,2–1,Wisła Kraków,19373,INEA stadion,Mariusz Złotek,Match Report,
,,,,,,,,,,,,
Relegation round,7,Fri,2017-06-02,20:30,Cracovia,0–1,Piast Gliwice,7311,Stadion Cracovii,Dominik Sulikowski,Match Report,
Relegation round,7,Fri,2017-06-02,20:30,Zagłębie Lubin,1–3,Arka Gdynia,6921,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
Relegation round,7,Fri,2017-06-02,20:30,Ruch Chorzów,2–2,Górnik Łęczna,5692,Stadion Miejski ul. Cicha,Jarosław Przybył,Match Report,
Relegation round,7,Fri,2017-06-02,20:30,Wisła Płock,0–3,Śląsk Wrocław,4068,Stadion im. Kazimierza Górskiego,Łukasz Szczech,Match Report,
Championship round,7,Sun,2017-06-04,18:00,Legia Warsaw,0–0,Lechia Gdańsk,28953,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Championship round,7,Sun,2017-06-04,18:00,Pogoń Szczecin,3–0,Korona Kielce,2545,Stadion Miejski im. Floriana Krygiera,Wojciech Myć,Match Report,
Championship round,7,Sun,2017-06-04,18:00,Jagiellonia,2–2,Lech Poznań,19084,Stadion Miejski,Mariusz Złotek,Match Report,
Championship round,7,Sun,2017-06-04,18:00,Wisła Kraków,1–2,Nieciecza,14149,Stadion Miejski im. Henryka Reymana,Tomasz Musiał,Match Report,
