Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,8,Sun,2017-09-10,15:30,Nieciecza,1–2,Górnik Zabrze,3519,Stadion Bruk-Bet,Mariusz Zlotek,Match Report,
Regular Season,8,Sun,2017-09-10,18:00,Pogoń Szczecin,0–0,Lech Poznań,10695,Stadion Miejski im. Floriana Krygiera,Szymon Marciniak,Match Report,
Regular Season,8,Mon,2017-09-11,18:00,Piast Gliwice,1–2,Lechia Gdańsk,5140,Stadion Miejski,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2017-09-15,18:00,Arka Gdynia,1–1,Zagłębie Lubin,7357,Stadion GOSiR,Tomasz Musiał,Match Report,
Regular Season,9,Fri,2017-09-15,20:30,Lech Poznań,1–0,Korona Kielce,20581,INEA stadion,Daniel Stefański,Match Report,
Regular Season,9,Sat,2017-09-16,15:30,Wisła Płock,3–1,Pogoń Szczecin,3111,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
Regular Season,9,Sat,2017-09-16,18:00,Górnik Zabrze,2–2,Śląsk Wrocław,22708,Arena Zabrze,Tomasz Kwiatkowski,Match Report,
Regular Season,9,Sat,2017-09-16,20:30,Wisła Kraków,2–0,Piast Gliwice,10822,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,9,Sun,2017-09-17,15:30,Nowy Sącz,1–0,Nieciecza,2644,Stadion im. Ojca Władysława Augustynka,Paweł Gil,Match Report,
Regular Season,9,Sun,2017-09-17,18:00,Legia Warsaw,1–0,Cracovia,16585,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
Regular Season,9,Mon,2017-09-18,18:00,Lechia Gdańsk,3–3,Jagiellonia,15135,Stadion Energa Gdańsk,Łukasz Szczech,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2017-09-22,18:00,Piast Gliwice,0–1,Arka Gdynia,3850,Stadion Miejski,Mariusz Zlotek,Match Report,
Regular Season,10,Fri,2017-09-22,20:30,Śląsk Wrocław,2–0,Lech Poznań,22075,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,10,Sat,2017-09-23,15:30,Nieciecza,2–1,Lechia Gdańsk,2178,Stadion Bruk-Bet,Tomasz Musiał,Match Report,
Regular Season,10,Sat,2017-09-23,18:00,Pogoń Szczecin,1–2,Górnik Zabrze,4548,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,10,Sat,2017-09-23,20:30,Korona Kielce,2–1,Wisła Kraków,7651,Kolporter Arena,Paweł Raczkowski,Match Report,
Regular Season,10,Sun,2017-09-24,15:30,Zagłębie Lubin,1–0,Nowy Sącz,5473,Stadion Zagłębia Lubin,Dominik Sulikowski,Match Report,
Regular Season,10,Sun,2017-09-24,18:00,Jagiellonia,1–0,Legia Warsaw,17894,Stadion Miejski,Bartosz Frankowski,Match Report,
